ticker,title,ai_probability_yes,predicted_direction,resolved_outcome,edge,confidence,result,pnl_percent
KXHIGHLAX-26MAR04-B68.5,"Will the **high temp in LA** be 68-69° on Mar 4, 2026?",3.98,NO,NO,-46.02,46.02,WIN,50.0
KXHIGHLAX-26MAR04-B66.5,"Will the **high temp in LA** be 66-67° on Mar 4, 2026?",2.3,NO,NO,-47.7,47.7,WIN,50.0
KXHIGHLAX-26MAR04-B64.5,"Will the **high temp in LA** be 64-65° on Mar 4, 2026?",1.13,NO,YES,-48.87,48.87,LOSS,-50.0
KXHIGHLAX-26MAR03-T67,"Will the **high temp in LA** be <67° on Mar 3, 2026?",10.75,NO,NO,-39.25,39.25,WIN,50.0
KXHIGHLAX-26MAR03-B73.5,"Will the **high temp in LA** be 73-74° on Mar 3, 2026?",7.95,NO,NO,-42.05,42.05,WIN,50.0
KXHIGHLAX-26MAR03-B71.5,"Will the **high temp in LA** be 71-72° on Mar 3, 2026?",7.52,NO,NO,-42.48,42.48,WIN,50.0
KXHIGHLAX-26MAR03-B69.5,"Will the **high temp in LA** be 69-70° on Mar 3, 2026?",6.06,NO,NO,-43.94,43.94,WIN,50.0
KXHIGHLAX-26MAR03-B67.5,"Will the **high temp in LA** be 67-68° on Mar 3, 2026?",4.17,NO,YES,-45.83,45.83,LOSS,-50.0
KXHIGHLAX-26MAR02-T66,"Will the **high temp in LA** be <66° on Mar 2, 2026?",11.51,NO,YES,-38.49,38.49,LOSS,-50.0
KXHIGHLAX-26MAR02-B72.5,"Will the **high temp in LA** be 72-73° on Mar 2, 2026?",7.93,NO,NO,-42.07,42.07,WIN,50.0
KXHIGHLAX-26MAR02-B70.5,"Will the **high temp in LA** be 70-71° on Mar 2, 2026?",7.62,NO,NO,-42.38,42.38,WIN,50.0
KXHIGHLAX-26MAR02-B68.5,"Will the **high temp in LA** be 68-69° on Mar 2, 2026?",6.24,NO,NO,-43.76,43.76,WIN,50.0
KXHIGHLAX-26MAR02-B66.5,"Will the **high temp in LA** be 66-67° on Mar 2, 2026?",4.36,NO,NO,-45.64,45.64,WIN,50.0
KXHIGHLAX-26MAR01-T78,"Will the **high temp in LA** be >78° on Mar 1, 2026?",7.49,NO,NO,-42.51,42.51,WIN,50.0
KXHIGHLAX-26MAR01-B77.5,"Will the **high temp in LA** be 77-78° on Mar 1, 2026?",3.26,NO,YES,-46.74,46.74,LOSS,-50.0
KXHIGHLAX-26MAR01-B75.5,"Will the **high temp in LA** be 75-76° on Mar 1, 2026?",5.13,NO,NO,-44.87,44.87,WIN,50.0
KXHIGHLAX-26MAR01-B73.5,"Will the **high temp in LA** be 73-74° on Mar 1, 2026?",6.89,NO,NO,-43.11,43.11,WIN,50.0
KXHIGHLAX-26MAR01-B71.5,"Will the **high temp in LA** be 71-72° on Mar 1, 2026?",7.89,NO,NO,-42.11,42.11,WIN,50.0
KXHIGHLAX-26FEB28-T80,"Will the **high temp in LA** be >80° on Feb 28, 2026?",2.5,NO,NO,-47.5,47.5,WIN,50.0
KXHIGHLAX-26FEB28-T73,"Will the **high temp in LA** be <73° on Feb 28, 2026?",71.23,YES,NO,21.23,21.23,LOSS,-50.0
KXHIGHLAX-26FEB28-B79.5,"Will the **high temp in LA** be 79-80° on Feb 28, 2026?",1.42,NO,YES,-48.58,48.58,LOSS,-50.0
KXHIGHLAX-26FEB28-B77.5,"Will the **high temp in LA** be 77-78° on Feb 28, 2026?",2.75,NO,NO,-47.25,47.25,WIN,50.0
KXHIGHLAX-26FEB28-B75.5,"Will the **high temp in LA** be 75-76° on Feb 28, 2026?",4.55,NO,NO,-45.45,45.45,WIN,50.0
KXHIGHLAX-26FEB28-B73.5,"Will the **high temp in LA** be 73-74° on Feb 28, 2026?",6.41,NO,NO,-43.59,43.59,WIN,50.0
KXHIGHLAX-26FEB27-T83,"Will the **high temp in LA** be >83° on Feb 27, 2026?",0.26,NO,YES,-49.74,49.74,LOSS,-50.0
KXHIGHLAX-26FEB27-T76,"Will the **high temp in LA** be <76° on Feb 27, 2026?",91.92,YES,NO,41.92,41.92,LOSS,-50.0
KXHIGHLAX-26FEB27-B82.5,"Will the **high temp in LA** be 82-83° on Feb 27, 2026?",0.21,NO,NO,-49.79,49.79,WIN,50.0
KXHIGHLAX-26FEB27-B80.5,"Will the **high temp in LA** be 80-81° on Feb 27, 2026?",0.57,NO,NO,-49.43,49.43,WIN,50.0
KXHIGHLAX-26FEB27-B78.5,"Will the **high temp in LA** be 78-79° on Feb 27, 2026?",1.32,NO,NO,-48.68,48.68,WIN,50.0
KXHIGHLAX-26FEB27-B76.5,"Will the **high temp in LA** be 76-77° on Feb 27, 2026?",2.6,NO,NO,-47.4,47.4,WIN,50.0
KXHIGHLAX-26FEB26-T83,"Will the **high temp in LA** be >83° on Feb 26, 2026?",0.12,NO,NO,-49.88,49.88,WIN,50.0
KXHIGHLAX-26FEB26-T76,"Will the **high temp in LA** be <76° on Feb 26, 2026?",94.95,YES,YES,44.95,44.95,WIN,50.0
KXHIGHLAX-26FEB26-B82.5,"Will the **high temp in LA** be 82-83° on Feb 26, 2026?",0.11,NO,NO,-49.89,49.89,WIN,50.0
KXHIGHLAX-26FEB26-B80.5,"Will the **high temp in LA** be 80-81° on Feb 26, 2026?",0.32,NO,NO,-49.68,49.68,WIN,50.0
KXHIGHLAX-26FEB26-B78.5,"Will the **high temp in LA** be 78-79° on Feb 26, 2026?",0.81,NO,NO,-49.19,49.19,WIN,50.0
KXHIGHLAX-26FEB26-B76.5,"Will the **high temp in LA** be 76-77° on Feb 26, 2026?",1.76,NO,NO,-48.24,48.24,WIN,50.0
KXHIGHLAX-26FEB25-T80,"Will the **high temp in LA** be >80° on Feb 25, 2026?",0.37,NO,NO,-49.63,49.63,WIN,50.0
KXHIGHLAX-26FEB25-T73,"Will the **high temp in LA** be <73° on Feb 25, 2026?",89.97,YES,YES,39.97,39.97,WIN,50.0
KXHIGHLAX-26FEB25-B79.5,"Will the **high temp in LA** be 79-80° on Feb 25, 2026?",0.29,NO,NO,-49.71,49.71,WIN,50.0
KXHIGHLAX-26FEB25-B77.5,"Will the **high temp in LA** be 77-78° on Feb 25, 2026?",0.75,NO,NO,-49.25,49.25,WIN,50.0
KXHIGHLAX-26FEB25-B75.5,"Will the **high temp in LA** be 75-76° on Feb 25, 2026?",1.64,NO,NO,-48.36,48.36,WIN,50.0
KXHIGHLAX-26FEB25-B73.5,"Will the **high temp in LA** be 73-74° on Feb 25, 2026?",3.08,NO,NO,-46.92,46.92,WIN,50.0
KXHIGHLAX-26FEB24-T76,"Will the **high temp in LA** be >76° on Feb 24, 2026?",17.88,NO,NO,-32.12,32.12,WIN,50.0
KXHIGHLAX-26FEB24-T69,"Will the **high temp in LA** be <69° on Feb 24, 2026?",31.56,NO,NO,-18.44,18.44,WIN,50.0
KXHIGHLAX-26FEB24-B75.5,"Will the **high temp in LA** be 75-76° on Feb 24, 2026?",5.7,NO,YES,-44.3,44.3,LOSS,-50.0
KXHIGHLAX-26FEB24-B73.5,"Will the **high temp in LA** be 73-74° on Feb 24, 2026?",7.3,NO,NO,-42.7,42.7,WIN,50.0
KXHIGHLAX-26FEB24-B71.5,"Will the **high temp in LA** be 71-72° on Feb 24, 2026?",7.96,NO,NO,-42.04,42.04,WIN,50.0
KXHIGHLAX-26FEB24-B69.5,"Will the **high temp in LA** be 69-70° on Feb 24, 2026?",7.41,NO,NO,-42.59,42.59,WIN,50.0
KXHIGHLAX-26FEB23-T78,"Will the **high temp in LA** be >78° on Feb 23, 2026?",5.94,NO,NO,-44.06,44.06,WIN,50.0
KXHIGHLAX-26FEB23-B77.5,"Will the **high temp in LA** be 77-78° on Feb 23, 2026?",2.75,NO,NO,-47.25,47.25,WIN,50.0
KXHIGHLAX-26FEB23-B75.5,"Will the **high temp in LA** be 75-76° on Feb 23, 2026?",4.55,NO,NO,-45.45,45.45,WIN,50.0
KXHIGHLAX-26FEB23-B73.5,"Will the **high temp in LA** be 73-74° on Feb 23, 2026?",6.41,NO,YES,-43.59,43.59,LOSS,-50.0
KXHIGHLAX-26FEB23-B71.5,"Will the **high temp in LA** be 71-72° on Feb 23, 2026?",7.7,NO,NO,-42.3,42.3,WIN,50.0
KXHIGHLAX-26FEB22-T74,"Will the **high temp in LA** be >74° on Feb 22, 2026?",15.87,NO,NO,-34.13,34.13,WIN,50.0
KXHIGHLAX-26FEB22-T67,"Will the **high temp in LA** be <67° on Feb 22, 2026?",34.46,NO,NO,-15.54,15.54,WIN,50.0
KXHIGHLAX-26FEB22-B73.5,"Will the **high temp in LA** be 73-74° on Feb 22, 2026?",5.32,NO,NO,-44.68,44.68,WIN,50.0
KXHIGHLAX-26FEB22-B71.5,"Will the **high temp in LA** be 71-72° on Feb 22, 2026?",7.03,NO,NO,-42.97,42.97,WIN,50.0
KXHIGHLAX-26FEB22-B69.5,"Will the **high temp in LA** be 69-70° on Feb 22, 2026?",7.93,NO,YES,-42.07,42.07,LOSS,-50.0
KXHIGHLAX-26FEB22-B67.5,"Will the **high temp in LA** be 67-68° on Feb 22, 2026?",7.62,NO,NO,-42.38,42.38,WIN,50.0
KXHIGHLAX-26FEB21-T73,"Will the **high temp in LA** be >73° on Feb 21, 2026?",14.92,NO,NO,-35.08,35.08,WIN,50.0
KXHIGHLAX-26FEB21-T66,"Will the **high temp in LA** be <66° on Feb 21, 2026?",35.94,NO,NO,-14.06,14.06,WIN,50.0
KXHIGHLAX-26FEB21-B72.5,"Will the **high temp in LA** be 72-73° on Feb 21, 2026?",5.13,NO,NO,-44.87,44.87,WIN,50.0
KXHIGHLAX-26FEB21-B70.5,"Will the **high temp in LA** be 70-71° on Feb 21, 2026?",6.89,NO,NO,-43.11,43.11,WIN,50.0
KXHIGHLAX-26FEB21-B68.5,"Will the **high temp in LA** be 68-69° on Feb 21, 2026?",7.89,NO,YES,-42.11,42.11,LOSS,-50.0
KXHIGHLAX-26FEB21-B66.5,"Will the **high temp in LA** be 66-67° on Feb 21, 2026?",7.7,NO,NO,-42.3,42.3,WIN,50.0
KXHIGHLAX-26FEB20-T63,"Will the **high temp in LA** be >63° on Feb 20, 2026?",76.42,YES,NO,26.42,26.42,LOSS,-50.0
KXHIGHLAX-26FEB20-T56,"Will the **high temp in LA** be <56° on Feb 20, 2026?",1.7,NO,NO,-48.3,48.3,WIN,50.0
KXHIGHLAX-26FEB20-B62.5,"Will the **high temp in LA** be 62-63° on Feb 20, 2026?",5.7,NO,NO,-44.3,44.3,WIN,50.0
KXHIGHLAX-26FEB20-B60.5,"Will the **high temp in LA** be 60-61° on Feb 20, 2026?",3.79,NO,NO,-46.21,46.21,WIN,50.0
KXHIGHLAX-26FEB20-B58.5,"Will the **high temp in LA** be 58-59° on Feb 20, 2026?",2.15,NO,YES,-47.85,47.85,LOSS,-50.0
KXHIGHLAX-26FEB20-B56.5,"Will the **high temp in LA** be 56-57° on Feb 20, 2026?",1.04,NO,NO,-48.96,48.96,WIN,50.0
KXHIGHLAX-26FEB19-T64,"Will the **high temp in LA** be >64° on Feb 19, 2026?",93.06,YES,NO,43.06,43.06,LOSS,-50.0
KXHIGHLAX-26FEB19-T57,"Will the **high temp in LA** be <57° on Feb 19, 2026?",0.2,NO,NO,-49.8,49.8,WIN,50.0
KXHIGHLAX-26FEB19-B63.5,"Will the **high temp in LA** be 63-64° on Feb 19, 2026?",2.3,NO,NO,-47.7,47.7,WIN,50.0
KXHIGHLAX-26FEB19-B61.5,"Will the **high temp in LA** be 61-62° on Feb 19, 2026?",1.13,NO,NO,-48.87,48.87,WIN,50.0
KXHIGHLAX-26FEB19-B59.5,"Will the **high temp in LA** be 59-60° on Feb 19, 2026?",0.47,NO,NO,-49.53,49.53,WIN,50.0
KXHIGHLAX-26FEB19-B57.5,"Will the **high temp in LA** be 57-58° on Feb 19, 2026?",0.17,NO,YES,-49.83,49.83,LOSS,-50.0
KXHIGHLAX-26FEB18-T62,"Will the **high temp in LA** be >62° on Feb 18, 2026?",94.95,YES,NO,44.95,44.95,LOSS,-50.0
KXHIGHLAX-26FEB18-T55,"Will the **high temp in LA** be <55° on Feb 18, 2026?",0.12,NO,NO,-49.88,49.88,WIN,50.0
KXHIGHLAX-26FEB18-B61.5,"Will the **high temp in LA** be 61-62° on Feb 18, 2026?",1.76,NO,NO,-48.24,48.24,WIN,50.0
KXHIGHLAX-26FEB18-B59.5,"Will the **high temp in LA** be 59-60° on Feb 18, 2026?",0.81,NO,NO,-49.19,49.19,WIN,50.0
KXHIGHLAX-26FEB18-B57.5,"Will the **high temp in LA** be 57-58° on Feb 18, 2026?",0.32,NO,YES,-49.68,49.68,LOSS,-50.0
KXHIGHLAX-26FEB18-B55.5,"Will the **high temp in LA** be 55-56° on Feb 18, 2026?",0.11,NO,NO,-49.89,49.89,WIN,50.0
KXHIGHLAX-26FEB17-T66,"Will the **high temp in LA** be >66° on Feb 17, 2026?",72.57,YES,NO,22.57,22.57,LOSS,-50.0
KXHIGHLAX-26FEB17-T59,"Will the **high temp in LA** be <59° on Feb 17, 2026?",2.28,NO,NO,-47.72,47.72,WIN,50.0
KXHIGHLAX-26FEB17-B65.5,"Will the **high temp in LA** be 65-66° on Feb 17, 2026?",6.24,NO,NO,-43.76,43.76,WIN,50.0
KXHIGHLAX-26FEB17-B63.5,"Will the **high temp in LA** be 63-64° on Feb 17, 2026?",4.36,NO,NO,-45.64,45.64,WIN,50.0
KXHIGHLAX-26FEB17-B61.5,"Will the **high temp in LA** be 61-62° on Feb 17, 2026?",2.6,NO,NO,-47.4,47.4,WIN,50.0
KXHIGHLAX-26FEB17-B59.5,"Will the **high temp in LA** be 59-60° on Feb 17, 2026?",1.32,NO,YES,-48.68,48.68,LOSS,-50.0
KXHIGHLAX-26FEB16-T65,"Will the **high temp in LA** be >65° on Feb 16, 2026?",71.23,YES,NO,21.23,21.23,LOSS,-50.0
KXHIGHLAX-26FEB16-T58,"Will the **high temp in LA** be <58° on Feb 16, 2026?",2.5,NO,NO,-47.5,47.5,WIN,50.0
KXHIGHLAX-26FEB16-B64.5,"Will the **high temp in LA** be 64-65° on Feb 16, 2026?",6.41,NO,NO,-43.59,43.59,WIN,50.0
KXHIGHLAX-26FEB16-B62.5,"Will the **high temp in LA** be 62-63° on Feb 16, 2026?",4.55,NO,NO,-45.45,45.45,WIN,50.0
KXHIGHLAX-26FEB16-B60.5,"Will the **high temp in LA** be 60-61° on Feb 16, 2026?",2.75,NO,NO,-47.25,47.25,WIN,50.0
KXHIGHLAX-26FEB16-B58.5,"Will the **high temp in LA** be 58-59° on Feb 16, 2026?",1.42,NO,YES,-48.58,48.58,LOSS,-50.0
